Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Neighborhoods - Analysis Boundaries,Business Corridor,Business Location
0065131-01-001,65131,Pizza John Peter Etal,3820 Divisadero Apts,3820 Divisadero St,San Francisco,CA,94123,8/1/1970,########,8/1/1970,########,,,,,,,FALSE,FALSE,,,2,Marina,,POINT (-122.443859 37.804959)
0138351-01-002,138351,Blondies Pizza Inc,Blondies Pizza,63 Powell Street,San Francisco,CA,94102,########,########,1/2/1996,########,,,,,7220-7229,Food Services,FALSE,FALSE,,,3,Tenderloin,,POINT (-122.407833 37.785322)
0302999-01-001,302999,Pizza Express,Pizza Express,919 Cortland Ave,San Francisco,CA,94110,5/7/1986,########,5/7/1986,########,,,,,,,FALSE,FALSE,,,9,Bernal Heights,,POINT (-122.413654 37.738953)
0316207-01-001,316207,Great Time Pizza Llc,Primetime Pizza Sportsbar/grl,1810 Clement St,San Francisco,CA,94121,5/1/1998,########,5/1/1998,########,,,,,,,FALSE,FALSE,,,1,Outer Richmond,,POINT (-122.478572 37.782294)
0337372-01-001,337372,Paradise Pizza Llc,Paradise Pizza Llc,393 West Portal Ave,San Francisco,CA,94127,1/2/1998,########,1/2/1998,########,,,,,7220-7229,Food Services,FALSE,FALSE,,,7,West of Twin Peaks,,POINT (-122.47044 37.736702)
0372879-01-002,372879,Cable Car Pizza Corporation,Cable Car Pizza,4704 Mission St,San Francisco,CA,94112,########,########,########,########,,,,,,,FALSE,FALSE,,,11,Outer Mission,,POINT (-122.436178 37.722882)
0372879-02-001,372879,Cable Car Pizza Corporation,Cable Car Pizza,464 Broadway St,San Francisco,CA,94133,########,########,1/1/2004,########,,,,,,,FALSE,FALSE,,,,,,POINT (-122.404892 37.798089)
0390572-01-001,390572,La Pizza Inferno,Cinecitta,663 Union St,San Francisco,CA,94133,########,########,########,########,,,,,7210-7219,Accommodations,FALSE,FALSE,,,3,Chinatown,,POINT (-122.410525 37.800285)
0404000-01-001,404000,Pizza Mind Inc,Escape From New York Pizza,2109 Polk St,San Francisco,CA,94109,########,########,########,########,,,,,4400-4599,Retail Trade,FALSE,FALSE,H28,,3,Russian Hill,,POINT (-122.421854 37.796262)
0412782-01-001,412782,Piccolo Italia Pizza,Piccolo Italia Pizza,799 O'farrell Street,San Francisco,CA,94109,1/1/2007,########,1/1/2007,########,,,,,7220-7229,Food Services,FALSE,FALSE,,,6,Tenderloin,,POINT (-122.417923 37.785168)
0412782-02-001,412782,Piccolo Italia Pizza,Piccolo Italia Pizza,799 Ofarrell St,San Francisco,CA,94109,1/1/2007,########,########,########,,,,,7220-7229,Food Services,FALSE,FALSE,,,6,Tenderloin,,POINT (-122.417923 37.785168)
0412782-03-001,412782,Piccolo Italia Pizza,Piccolo Italia Pizza,799 O'farrell St,San Francisco,CA,94109,1/1/2007,########,########,########,,,,,7220-7229,Food Services,FALSE,FALSE,,,6,Tenderloin,,POINT (-122.417923 37.785168)
0413475-01-001,413475,Pizza Joint Inc,Pizza Joint Inc,2414 San Bruno Ave,San Francisco,CA,94134,2/9/2007,########,2/9/2007,########,,,,,,,FALSE,FALSE,H25,,9,Portola,,POINT (-122.405443 37.732066)
0431636-01-001,431636,Mr Pizza Man Ocean Lp,Mr Pizza Man,1934 Ocean Ave,San Francisco,CA,94127,5/1/2007,########,5/1/2007,########,,,,,,,FALSE,FALSE,,,7,West of Twin Peaks,,POINT (-122.463372 37.725693)
0432854-01-001,432854,Brunos Pizza & Restaurant Llc,Brunos Pizza & Restaurant,1375 Fillmore St,San Francisco,CA,94115,########,########,########,########,,,,,,,FALSE,FALSE,,,5,Western Addition,,POINT (-122.432458 37.782068)
0439125-01-001,439125,Mission Impizzable Inc,Escape From New York Pizza,3242 22nd St,San Francisco,CA,94110,6/7/2009,########,6/7/2009,########,,,,,4400-4599,Retail Trade,FALSE,FALSE,H28,,9,Mission,,POINT (-122.419695 37.755385)
0439348-01-001,439348,Mythic Pizza Inc,Mythic Pizza Inc,551 Haight St,San Francisco,CA,94117,########,########,########,########,,,,,,,FALSE,FALSE,,,5,Hayes Valley,,POINT (-122.431359 37.771994)
0455212-01-001,455212,Mr Pizza Geary,Mr Pizza Geary,3409 Geary Blvd,San Francisco,CA,94118,1/1/2011,########,1/1/2011,########,,,,,,,FALSE,FALSE,,,1,Lone Mountain/USF,,POINT (-122.455552 37.781365)
0465553-01-001,465553,Polk Street Pizza Llc,Gioia Pizzeria,2238 Polk St,San Francisco,CA,94109,3/1/2012,########,3/1/2012,########,,,,,7220-7229,Food Services,FALSE,FALSE,H25,,3,Russian Hill,,POINT (-122.422095 37.797449)
0470692-01-001,470692,Nostra Pizza Asia Fusion,Nostra Pizza Asia Fusion,300 De Haro St 338,San Francisco,CA,94103,7/2/2012,########,7/2/2012,########,,,,,,,FALSE,FALSE,,,10,Mission Bay,,POINT (-122.401678 37.765637)
0472272-01-001,472272,Pia's Amazing Pizza Llc,Pia's Amazing Pizza,101 California St 2450,San Francisco,CA,94111,########,########,########,########,,,,,,,FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.397991 37.793416)
0475665-01-001,475665,California Pizza Corporation,Stelladoro Pizzeria,808 Divisadero St,San Francisco,CA,94117,########,########,########,########,,,,,7220-7229,Food Services,FALSE,FALSE,,,,,,POINT (-122.438172 37.777038)
0475679-01-001,475679,Pizzarelli Anthony,Mai Kru Personal Training,1067 Market St #1010,San Francisco,CA,94103,1/1/2013,########,1/1/2013,########,,,,,7100-7199,"Arts, Entertainment, and Recreation",FALSE,FALSE,,,,,,POINT (-122.411729 37.78111)
0477065-01-001,477065,Giorgio's Pizza Llc,Giorgio's Pizzeria,50 Post St Ste 63,San Francisco,CA,94104,4/1/2013,########,4/1/2013,########,,,,,7220-7229,Food Services,FALSE,FALSE,H28,,3,Financial District/South Beach,,POINT (-122.402927 37.788992)
0478833-01-001,478833,Triumverant Pizza Llc,Rustic,3331 24th St,San Francisco,CA,94110,5/5/2013,9/1/2015,5/5/2013,9/1/2015,,,,,,,FALSE,FALSE,,,9,Mission,,POINT (-122.419225 37.7522)
0926241-02-001,926241,Spizzamiglio Riccardo,Artist Riccardo Spizzamiglio,3418 25th St,San Francisco,CA,94110,########,########,########,########,,,,,,,FALSE,FALSE,,,9,Mission,,POINT (-122.418677 37.750621)
1080241-07-161,316207,Great Time Pizza Llc,Great Time Pizza Llc,1810 Clement St,San Francisco,CA,94121,5/1/1998,########,5/1/1998,########,,,,,,,FALSE,FALSE,,,,,,
1079689-06-161,1038620,Pizzardi Ginny,Ginny Pizzardi,865 Elizabeth St,San Francisco,CA,94114,########,8/1/2017,########,8/1/2017,,,,,5400-5499,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,8,Noe Valley,,
1057090-03-161,1028002,Juniors Pizza Inc,Pronto Pizza,798 Eddy St,San Francisco,CA,94109,3/2/2016,########,3/2/2016,########,,,,,,,FALSE,FALSE,,,,,,POINT (-122.420475 37.782935)
1059342-03-161,1029136,Union Street Pizza Llc,Naples On Union,2136 Union St,San Francisco,CA,94123,########,########,########,########,,,,,7220-7229,Food Services,FALSE,FALSE,,,2,Marina,,POINT (-122.434528 37.797215)
1063258-04-161,1031013,"Sf Roger's Pizza, Llc",Dba: Mama Mia Pizza,3839 Mission St,San Francisco,CA,94100,########,########,########,########,,,,,,,FALSE,FALSE,H25,,,,,POINT (-122.424651 37.735519)
1126042-11-161,1060535,Passione Pizza,Passione Pizza,2326 Fifth St,Berkeley,CA,94710,########,########,########,########,,,,,7220-7229,Food Services,FALSE,FALSE,H79,,,,,
1128476-11-161,1029136,Union Street Pizza Llc,Contrada,2136 Union St,San Francisco,CA,94123,########,########,########,########,,,,,7220-7229,Food Services,FALSE,FALSE,H25,,2,Marina,,
1195866-07-181,1090576,Ingleside Pizza Inc,Ingleside Pizza,4097 19th Ave,San Francisco,CA,94132,########,########,########,########,,,,,7220-7229,Food Services,FALSE,FALSE,,,,,,
1240864-12-191,1109594,North Beach Pizza Inc.,Union Street Produce,801 Union St,San Francisco,CA,94133,7/1/2019,,########,,2401 Grant St,Calistoga,94515,CA,4400-4599 4200-4299,Multiple,FALSE,FALSE,,,3,Russian Hill,,
1240806-12-191,1109594,North Beach Pizza Inc.,Union Street Produce,2401 Grant St,Calistoga,CA,94515,7/1/2019,,########,,2401 Grant St,Calistoga,94515,CA,4400-4599 4200-4299,Multiple,FALSE,FALSE,,,,,,
0118796-01-001,118796,Giorgios Pizza Inc,Giorgios Pizzeria,151 Clement St,San Francisco,CA,94118,6/1/1979,,6/1/1979,,151 CLEMENT ST,San Francisco,94118,CA,7220-7229,Food Services,FALSE,FALSE,H26,"RESTAURANT GREATER THAN 2,000 SQFT",1,Inner Richmond,,POINT (-122.46103 37.783123)
0161652-01-001,161652,Pizza On Earth Inc,Escape From New York Pizza Ii,1737 Haight St,San Francisco,CA,94117,########,,########,,1737 HAIGHT ST,San Francisco,94117,CA,4400-4599,Retail Trade,FALSE,FALSE,H24,"RESTAURANT LESS THAN 1,000 SQFT",5,Haight Ashbury,,POINT (-122.451375 37.769423)
0183117-02-002,183117,"North Beach Pizza, Inc.",North Beach Pizza Too!,1462 Grant Ave,San Francisco,CA,94133,1/1/1989,,5/1/2009,,1462 GRANT AVE,San Francisco,94133,CA,7220-7229,Food Services,FALSE,FALSE,H24,"RESTAURANT LESS THAN 1,000 SQFT",3,North Beach,,POINT (-122.407572 37.800532)
0183242-01-001,183242,Arinell Pizza Inc,Arinell Pizza,509 Valencia St,San Francisco,CA,94110,1/1/1989,,1/1/1989,,2109 SHATTUCK AVE,Berkeley,94704,CA,4400-4599 7220-7229,Multiple,FALSE,FALSE,H24,"RESTAURANT LESS THAN 1,000 SQFT",9,Mission,,POINT (-122.421858 37.764649)
0195602-03-001,195602,California Pizza Kitchen Inc,California Pizza Kitchen,53 3rd St,San Francisco,CA,94103,3/8/1990,,########,,12181 12181 BLUFF CREEK DRIVE 5TH FL,Playa Vista,90094,CA,7220-7229,Food Services,FALSE,FALSE,D04 H26,Multiple,6,Financial District/South Beach,,POINT (-122.402724 37.786827)
0308068-03-001,308068,Pac Pizza Llc,Pizza Hut,3349 Mission St,San Francisco,CA,94110,8/7/1997,,8/7/1997,,1938 N WOODLAWN ST STE,Wichita,67208,KS,7220-7229,Food Services,FALSE,FALSE,H28,TAKE-OUT ESTABLISHMENT,9,Bernal Heights,,POINT (-122.421349 37.743319)
0308068-04-001,308068,Pac Pizza Llc,Pizza Hut,728 Geary St,San Francisco,CA,94109,8/7/1997,,8/7/1997,,1938 N WOODLAWN ST STE,Wichita,67208,KS,7220-7229,Food Services,FALSE,FALSE,H29,FAST FOOD EXTABLISHMENT,6,Tenderloin,,POINT (-122.415319 37.786459)
0320174-01-001,320174,Sol Pizza Inc,North Beach Pizza,800 Stanyan St,San Francisco,CA,94117,7/1/1995,,7/1/1995,,800 STANYAN ST,San Francisco,94117,CA,7220-7229,Food Services,FALSE,FALSE,H24,"RESTAURANT LESS THAN 1,000 SQFT",5,Haight Ashbury,,POINT (-122.453145 37.767173)
0349110-01-001,349110,Uncle Vito's Pizza Llc,Uncle Vito's Pizza Llc,700 Bush St,San Francisco,CA,94108,########,,########,,700 BUSH ST,San Francisco,94108,CA,7220-7229,Food Services,FALSE,FALSE,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Nob Hill,,POINT (-122.408854 37.790157)
0350059-01-001,350059,Pizza Prada Inc,Pizza Prada,239 Powell St,San Francisco,CA,94102,8/1/2001,,8/1/2001,,339 BALBOA ST,San Francisco,94118,CA,5210-5239,Financial Services,FALSE,FALSE,,,3,Tenderloin,,POINT (-122.408128 37.786799)
0351245-01-001,351245,Pizza Foods Inc,Pizza Foods Inc,801 Van Ness Ave,San Francisco,CA,94109,########,,########,,801 VAN NESS AVE,San Francisco,94109,CA,7220-7229,Food Services,FALSE,FALSE,,,5,Western Addition,,POINT (-122.420939 37.78305)
0351245-02-001,351245,Pizza Foods Inc,Round Table Pizza,801 Van Ness Ave,San Francisco,CA,94109,########,,########,,801 VAN NESS AVE,San Francisco,94109,CA,7220-7229,Food Services,FALSE,FALSE,H26,"RESTAURANT GREATER THAN 2,000 SQFT",5,Western Addition,,POINT (-122.420939 37.78305)
0358153-01-001,358153,Serrano's Pizza Inc,Serrano's Pizza Inc,3274 21st St,San Francisco,CA,94110,7/1/2002,,7/1/2002,,127 BOBOLINK WAY,Hercules,94547,CA,7220-7229,Food Services,FALSE,FALSE,H24,"RESTAURANT LESS THAN 1,000 SQFT",9,Mission,,POINT (-122.420537 37.756945)
0373843-01-001,373843,"Haystack Pizza Restaurant, Inc",Haystack Pizza Restaurant,3881 24th St,San Francisco,CA,94114,1/1/1999,,1/1/1999,,3881 24TH ST,San Francisco,94114,CA,7220-7229,Food Services,FALSE,FALSE,H26,"RESTAURANT GREATER THAN 2,000 SQFT",8,Noe Valley,,POINT (-122.429202 37.751595)
0380393-01-001,380393,Little Star Pizza Llc,Little Star Pizza,846 Divisadero St,San Francisco,CA,94117,########,,1/1/2005,,846 DIVISADERO ST,San Francisco,94117,CA,7220-7229,Food Services,FALSE,FALSE,H25,"RESTAURANT 1,000 - 2,000 SQFT",5,Western Addition,,POINT (-122.438263 37.777494)
0396555-01-001,396555,Bush Street Pizza Inc,Bush Street Pizza Inc,333 Bush St,San Francisco,CA,94104,1/1/2006,,1/1/2006,,333 BUSH ST,San Francisco,94104,CA,4400-4599,Retail Trade,FALSE,FALSE,,,3,Financial District/South Beach,,POINT (-122.403151 37.790878)
0396555-02-001,396555,Bush Street Pizza Inc,Escape From New York Pizza,333 Bush St,San Francisco,CA,94104,1/1/2006,,1/1/2010,,333 BUSH ST,San Francisco,94104,CA,4400-4599,Retail Trade,FALSE,FALSE,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Financial District/South Beach,,POINT (-122.403151 37.790878)
0404697-01-001,404697,Pizza Place Llc,The Pizza Place On Noriega,3901 Noriega St,San Francisco,CA,94122,3/1/2007,,3/1/2007,,3901 NORIEGA ST,San Francisco,94122,CA,7220-7229,Food Services,FALSE,FALSE,H25,"RESTAURANT 1,000 - 2,000 SQFT",4,Sunset/Parkside,,POINT (-122.505595 37.752958)
